Sim. Command,Time,tr_node0_to_node1,tr_node1_to_node0,tr_node1_to_node2,tr_node2_to_node1,tr_node2_to_node3,tr_node3_to_node2,tr_node3_to_node4,tr_node4_to_node3,tr_node4_to_node5,tr_node5_to_node4,tr_node5_to_node6,tr_node6_to_node5,tr_node6_to_node7,tr_node7_to_node6,tr_node7_to_node8,tr_node8_to_node7,tr_node8_to_node9,tr_node9_to_node8
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.176846000001,0,4,1,0,0,0,1,0,0,0,6,0,0,9,0,4,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.181867000001,0,6,1,0,1,0,0,1,0,10,0,0,0,0,0,0,3,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.186959000001,2,0,0,0,5,0,0,3,0,10,0,2,0,1,0,0,3,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.192044000001,4,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,4,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.197195199998,0,0,0,2,0,1,0,0,9,0,0,0,3,0,0,1,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.202285000001,0,0,3,0,1,0,0,2,0,0,9,0,0,2,0,0,0,1
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.207351999998,3,0,0,1,4,0,0,1,0,0,0,0,0,0,10,0,0,3
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.212392000001,5,0,0,3,1,0,4,0,0,0,0,0,0,0,10,0,0,4
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.217455000001,0,0,7,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.222542000001,0,1,0,4,5,0,0,0,7,0,0,1,0,0,0,1,0,1
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.227662799998,1,0,1,0,0,0,0,5,0,0,0,3,0,0,0,0,2,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.232750000001,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,0,3,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.237817000001,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.242853000001,0,1,0,0,4,0,0,2,0,5,0,0,0,3,0,0,0,1
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.247890000001,0,3,0,0,0,0,5,0,3,0,1,0,0,5,0,0,0,3
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.252964799998,0,3,0,0,0,0,0,0,9,0,1,0,0,8,0,0,0,4
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.258003000001,0,4,3,0,0,0,0,0,10,0,2,0,0,10,0,0,0,6
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.263056000001,0,6,0,0,0,0,6,0,0,10,0,0,0,0,0,0,2,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.268157000001,0,0,0,3,0,0,2,0,1,0,6,0,0,2,0,1,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.273196000001,1,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,2
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.278335000001,0,0,3,0,2,0,0,2,0,0,0,8,0,2,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.283345000001,0,0,0,1,0,0,0,10,1,0,0,0,1,0,0,0,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.288451399998,1,0,0,2,0,8,0,0,0,0,0,1,0,0,3,0,0,1
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.293464000001,0,0,0,0,3,0,2,0,0,0,0,1,0,7,0,0,1,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.298543000001,1,0,0,0,0,0,6,0,1,0,0,10,0,0,0,2,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.30363900000099997,1,0,0,5,1,0,1,0,0,0,0,0,5,0,0,3,0,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.30866000000099997,0,5,0,0,0,1,0,3,1,0,0,1,0,0,0,0,4,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.313697000001,0,0,0,0,3,0,1,0,0,1,0,4,0,0,0,0,5,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.318777000001,0,0,0,3,6,1,3,0,0,0,1,0,2,0,0,2,6,0
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.323826000001,0,0,0,5,0,0,0,0,8,0,0,0,3,0,0,3,0,1
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.328925000001,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,3
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.333973000001,0,0,1,0,1,0,0,7,0,3,0,0,0,0,3,0,0,4
project/sim_ext.py --sim-time 1 --seq-graph project/file/chain_10_node_seq_1000.json --key-size 128 --mess-rate 0.04 --traffic project/file/traffic_chain_10.json,0.339051199998,2,0,0,0,4,0,0,7,0,9,1,0,0,0,0,1,0,0
